word;definition;synonym;part of speech;difficulty
abandon;to leave someone or something behind;desert;verb;B2
benevolent;well-meaning and kindly;kind;adjective;C1
catalyst;a substance that speeds up a chemical reaction;accelerator;noun;C1
daunting;intimidating or causing fear;intimidating;adjective;C2
eclectic;deriving ideas from various sources;diverse;adjective;C2
word_6;definition of word_6;synonym of word_6;noun;C2
word_7;definition of word_7;synonym of word_7;noun;B1
word_8;definition of word_8;synonym of word_8;noun;C2
word_9;definition of word_9;synonym of word_9;noun;B1
word_10;definition of word_10;synonym of word_10;noun;C2
word_11;definition of word_11;synonym of word_11;noun;B1
word_12;definition of word_12;synonym of word_12;noun;C2
word_13;definition of word_13;synonym of word_13;noun;B1
word_14;definition of word_14;synonym of word_14;noun;C2
word_15;definition of word_15;synonym of word_15;noun;B1
word_16;definition of word_16;synonym of word_16;noun;C2
word_17;definition of word_17;synonym of word_17;noun;B1
word_18;definition of word_18;synonym of word_18;noun;C2
word_19;definition of word_19;synonym of word_19;noun;B1
word_20;definition of word_20;synonym of word_20;noun;C2
word_21;definition of word_21;synonym of word_21;noun;B1
word_22;definition of word_22;synonym of word_22;noun;C2
word_23;definition of word_23;synonym of word_23;noun;B1
word_24;definition of word_24;synonym of word_24;noun;C2
word_25;definition of word_25;synonym of word_25;noun;B1
word_26;definition of word_26;synonym of word_26;noun;C2
word_27;definition of word_27;synonym of word_27;noun;B1
word_28;definition of word_28;synonym of word_28;noun;C2
word_29;definition of word_29;synonym of word_29;noun;B1
word_30;definition of word_30;synonym of word_30;noun;C2
word_31;definition of word_31;synonym of word_31;noun;B1
word_32;definition of word_32;synonym of word_32;noun;C2
word_33;definition of word_33;synonym of word_33;noun;B1
word_34;definition of word_34;synonym of word_34;noun;C2
word_35;definition of word_35;synonym of word_35;noun;B1
word_36;definition of word_36;synonym of word_36;noun;C2
word_37;definition of word_37;synonym of word_37;noun;B1
word_38;definition of word_38;synonym of word_38;noun;C2
word_39;definition of word_39;synonym of word_39;noun;B1
word_40;definition of word_40;synonym of word_40;noun;C2
word_41;definition of word_41;synonym of word_41;noun;B1
word_42;definition of word_42;synonym of word_42;noun;C2
word_43;definition of word_43;synonym of word_43;noun;B1
word_44;definition of word_44;synonym of word_44;noun;C2
word_45;definition of word_45;synonym of word_45;noun;B1
word_46;definition of word_46;synonym of word_46;noun;C2
word_47;definition of word_47;synonym of word_47;noun;B1
word_48;definition of word_48;synonym of word_48;noun;C2
word_49;definition of word_49;synonym of word_49;noun;B1
word_50;definition of word_50;synonym of word_50;noun;C2
word_51;definition of word_51;synonym of word_51;noun;B1
word_52;definition of word_52;synonym of word_52;noun;C2
word_53;definition of word_53;synonym of word_53;noun;B1
word_54;definition of word_54;synonym of word_54;noun;C2
word_55;definition of word_55;synonym of word_55;noun;B1
word_56;definition of word_56;synonym of word_56;noun;C2
word_57;definition of word_57;synonym of word_57;noun;B1
word_58;definition of word_58;synonym of word_58;noun;C2
word_59;definition of word_59;synonym of word_59;noun;B1
word_60;definition of word_60;synonym of word_60;noun;C2
word_61;definition of word_61;synonym of word_61;noun;B1
word_62;definition of word_62;synonym of word_62;noun;C2
word_63;definition of word_63;synonym of word_63;noun;B1
word_64;definition of word_64;synonym of word_64;noun;C2
word_65;definition of word_65;synonym of word_65;noun;B1
word_66;definition of word_66;synonym of word_66;noun;C2
word_67;definition of word_67;synonym of word_67;noun;B1
word_68;definition of word_68;synonym of word_68;noun;C2
word_69;definition of word_69;synonym of word_69;noun;B1
word_70;definition of word_70;synonym of word_70;noun;C2
word_71;definition of word_71;synonym of word_71;noun;B1
word_72;definition of word_72;synonym of word_72;noun;C2
word_73;definition of word_73;synonym of word_73;noun;B1
word_74;definition of word_74;synonym of word_74;noun;C2
word_75;definition of word_75;synonym of word_75;noun;B1
word_76;definition of word_76;synonym of word_76;noun;C2
word_77;definition of word_77;synonym of word_77;noun;B1
word_78;definition of word_78;synonym of word_78;noun;C2
word_79;definition of word_79;synonym of word_79;noun;B1
word_80;definition of word_80;synonym of word_80;noun;C2
word_81;definition of word_81;synonym of word_81;noun;B1
word_82;definition of word_82;synonym of word_82;noun;C2
word_83;definition of word_83;synonym of word_83;noun;B1
word_84;definition of word_84;synonym of word_84;noun;C2
word_85;definition of word_85;synonym of word_85;noun;B1
word_86;definition of word_86;synonym of word_86;noun;C2
word_87;definition of word_87;synonym of word_87;noun;B1
word_88;definition of word_88;synonym of word_88;noun;C2
